provider,title,description,url,thumbnailUrl,author,price,level,category,score,skills,lectureUpdatedAt,duration,details
udemy,처음시작하는 jQuery Programming,JavaScript를 보다 쉽고 강력하게 사용할 수 있는 jQuery를 본 강의로 완성 할수 있습니다. 쿠폰 입력 1만원,https://www.udemy.com/course/softcampus-jquery/,https://img-c.udemycdn.com/course/240x135/1445140_96d1.jpg,Softcampus Academy,23000,모든 수준,웹 개발,4.3,jQuery,2018/07,5:17,"본 과정에서는 jQuery에 대한 기초부터 Ajax 통신까지 jQuery가 제공하는 다양한 개념과 기법을 학습할 수 있습니다., 본 과정을 학습하시게 되면 JavaScript를 보다 쉽고 강력하게 사용할 수 있다, 본 과정을 jQuery 기반으로 만들어진 수십가지의 프레임워크를 사용하실 수 있습니다."
udemy,처음시작하는  HTML & HTML5 Tutorials 강사 윤재성,반응형 웹 페이지 제작을 위해 필수 적인 HTML&HTML5를 익힐수 있다.,https://www.udemy.com/course/softcampus-html5/,https://img-c.udemycdn.com/course/240x135/1348330_efd7_5.jpg,Softcampus Academy,23000,모든 수준,웹 개발,4.4,HTML,2018/07,5:22,"본 강좌에서는 HTML과 HTML5의 기본적인 부분을 학습하게 됩니다. 학습 후 HTML5 고급 기술을 학습하거나 CSS, JavaScript, jQuery, BootStrap과 같은 다른 웹 front 개발 분야를 학습할 수 있습니다"
udemy,처음시작하는  JavaScript Tutorials 강사 윤재성,"JavaScript 언어에 대한 개요, 기초 문법, 제공 라이브러리까지 JavaScript에 대한 전반적인 내용을 학습할 수 있습니다.",https://www.udemy.com/course/softcampus-javascript/,https://img-c.udemycdn.com/course/240x135/1447322_3aad_5.jpg,Softcampus Academy,23000,모든 수준,웹 개발,4.7,JavaScript,2018/02,4:47,"본 강좌는 JavaScript 언어에 대한 개요, 기초 문법, 제공 라이브러리까지 JavaScript에 대한 전반적인 내용을 학습할 수 있습니다., 학습 후에는 jQuery, BootStrap 등 웹 애플리케이션 프레임워크를 학습할 수 있으며 서버 개발을 위한 node js도 학습하실 수 있습니다., 최근 JavaScript 언어를 이용한 다양한 개발 분야가 새롭게 등장하고 있는데 그러한 개발 분야 모두를 다룰 수 있습니다."
udemy,언리얼 엔진4 ( Unreal Engine ) 3D 횡스크롤 게임 만들기,언리얼 엔진4 ( UE4 ) 블루 프린트로 게임 만들기,https://www.udemy.com/course/4ue4-3d-t/,https://img-c.udemycdn.com/course/240x135/1426612_2eb6.jpg,Daehee Hwang,79000,초급자,게임 개발,4.8,언리얼 엔진,2023/01,15:27,"횡스크롤 액션 게임이나 액션 RPG 게임, 게임을 만들기 위한 블루프린트 기능 습득, 애니메이션 처리, 이펙트 처리, 사운드 처리, 몬스터 인공지능, HUD 사용법"
udemy,처음 시작하는 MySQL DataBase,MySQL을 통해 모바일/웹 개발에 필수인 DataBase 개발을 마스터 할수 있다.,https://www.udemy.com/course/softcampus-mysql/,https://img-c.udemycdn.com/course/240x135/1450064_3918.jpg,Softcampus Academy,23000,모든 수준,데이터베이스 설계 및 개발,4.5,MySQL,2018/07,5:44,"본 과정에서는 MySQL 데이터 베이스에 대해 개발자 측면 부분을 학습하게 됩니다., MySQL 설치부터 다양한 기본 쿼리문,  그리고 데이터베이스 및 테이블을 관리하는 방법에 대해 학습하실 수 있습니다., 본 과정을 마치면 다른 데이터베이스를 학습 하시거나 웹 개발, 모바일 개발 등에서 데이터를 관리할 때 응용하실 수 있습니다."
udemy,"UNITY 3D(유니티 3D) 실전프로젝트 장르별 게임 개발 ""클리커(Clicker) 게임"" 강사 고현철",Unity3D Make Clicker game project,https://www.udemy.com/course/unity3d-clicker/,https://img-c.udemycdn.com/course/240x135/1413202_31ea_5.jpg,Softcampus Academy,23000,초급자,게임 개발,4.4,Unity,2018/07,3:25,"Unity 를 기반으로 클리커 게임이 어떤 원리로 만들어 지는지를 알수  있습니다., 본인만의 게임개발이 가능하고 앞으로 만들어질 장르별 게임개발을 학습할때도 도움이 됩니다., 3D 미니 클리커 게임을 개발 할수 있다., 실전 프로젝트를 통해 실무를 익힐수 있다"
udemy,retr0의 유니티 (Unity C#) 게임 프로그래밍 에센스,간결하고 탁월한 유니티 게임 프로그래밍 튜토리얼,https://www.udemy.com/course/retr0-unity/,https://img-c.udemycdn.com/course/240x135/1341186_804d_15.jpg,retr0 by I_Jemin,88000,모든 수준,게임 개발,4.8,C#,2020/06,24:04,"혼자서 유니티 게임을 완성할 수 있는 능력, 80% 이상의 유니티 에디터 사용법, 중급의 유니티 C# 클라이언트 프로그래밍, 프로그래밍에 필요한 컴퓨터 공학 기초 (OOP 위주)"
udemy,처음시작하는 파이썬(Python) 윤재성,파이션 개발 입문 과정으로 많은 예제를 통해 쉽게 습득 할수 있다.,https://www.udemy.com/course/python-soft/,https://img-c.udemycdn.com/course/240x135/1400164_c4db_2.jpg,Softcampus Academy,23000,초급자,프로그래밍 언어,4.1,Python,2021/09,5:04,"파이썬의 기초문법과 데이터 관리 등 기초에 관한 내용을 학습하게 됩니다, 파이썬을 이용한 빅데이터, 웹 애플리케이션 개발, 3D 엔진 개발"
udemy,강화학습 기초,"가장 쉬운 파이썬 언어로 어려운 개념도 쉽게 설명하는 영상을 보시고 따라해보세요. 만들어 보면, 인공지능이 뭔지 감 잡을 수 있습니다!",https://www.udemy.com/course/build_reinforcement_learning/,https://img-c.udemycdn.com/course/240x135/1337310_e368_2.jpg,광성 최,59000,초급자,데이터 과학,3.3,Python,2017/10,1:02,"머신러닝 중 강화학습 기초, 주어진 문제를 해결하기 위해 강화학습을 적용해가는 과정, 파이썬 웹 프레임워크 플라스크를 사용하는 방법"
udemy,node.js server Tutorials(Node.js 서버 프로그래밍 과정),본 과정 수행으로 Node.js 를 활용한 서버 프로그래밍 기술을 습득할 수 있다.,https://www.udemy.com/course/nodejs-server-tutorials/,https://img-c.udemycdn.com/course/240x135/1389812_dd77.jpg,Softcampus Academy,23000,모든 수준,웹 개발,4.5,Node.Js,2021/12,5:36,"node js를 활용한 서버 프로그래밍 기술 습득할수 있다., 데이터 베이스 연동 기법을 학습할 수 있습니다., 모바일,웹 ,컴퓨터 등의 애플리케이션 과 연동되는 서버 개발을 할수 있다."
